fdc_id,name,category,food_group,meal_type,source,calories,protein,carbs,fat,fiber,sugar,sodium,calcium,iron,protein_pct,carbs_pct,fat_pct,protein_density,calorie_level,health_score,is_high_protein,diabetic_friendly,low_sodium
LBY051,خبزة كوشة (ليبية),مخبوزات,نشويات,فطور، غداء، عشاء,وصفة تقديرية,265,9.0,54.0,1.5,2.5,1.2,450,25,1.8,13.6,81.5,5.1,3.4,مرتفع,60.3,False,False,False
INT238,خردل (مستردة),صلصات,دهون,غداء، عشاء,قياسي,66,4.4,5.0,4.0,3.3,1.0,1135,58,1.5,26.7,30.3,54.5,6.67,منخفض,53.8,False,True,False
INT387,خرشوف (أرضي شوكي) مشوي,خضروات,خضار,غداء، عشاء,قياسي,60,3.5,12.5,1.5,6.5,1.2,90,45,1.5,23.3,83.3,22.5,5.83,منخفض,58.0,False,True,True
INT305,خرشوف مسلوق,خضروات,خضار,غداء,قياسي,47,3.3,10.5,0.2,5.4,1.0,94,44,1.3,28.1,89.4,3.8,7.02,منخفض,58.3,False,True,True
INT386,خضار سوتيه مشكل,خضروات,خضار,غداء، عشاء,قياسي,55,2.1,8.5,2.2,3.1,3.2,140,38,0.8,15.3,61.8,36.0,3.82,منخفض,43.3,False,True,False
INT317,خل التفاح الطبيعي,مكونات,خضار,سناك، غداء,قياسي,3,0.0,0.1,0.0,0.0,0.0,1,1,0.0,0.0,13.3,0.0,0.0,منخفض,27.6,False,True,True
INT318,خميرة غذائية (Nutritional Yeast),مكونات,بروتين,غداء، عشاء,قياسي,400,50.0,33.0,4.0,20.0,0.0,50,70,5.0,50.0,33.0,9.0,12.5,مرتفع,100.0,True,False,True
INT155,خوخ طازج,فواكه,فواكه,سناك,قياسي,39,0.9,9.5,0.3,1.5,8.4,0,6,0.3,9.2,97.4,6.9,2.31,منخفض,30.0,False,False,True
INT350,خوخ مجفف (قراصيا),فواكه,فواكه,سناك,قياسي,240,2.2,64.0,0.4,7.1,38.0,2,43,0.9,3.7,100.0,1.5,0.92,متوسط,38.8,False,False,True
INT112,خيار (طازج),خضروات,خضار,فطور، غداء، عشاء، سناك,قياسي,15,0.7,3.6,0.1,0.5,1.7,2,16,0.3,18.7,96.0,6.0,4.67,منخفض,31.7,False,True,True
INT224,دبس تمر (رُب),سكريات,حلويات,فطور,وصفة تقديرية,290,1.5,72.0,0.1,2.5,68.0,25,50,1.8,2.1,99.3,0.3,0.52,مرتفع,25.0,False,False,True
LBY048,دبلة (حلويات ليبية),حلويات,حلويات,حلوى,وصفة تقديرية,490,4.5,58.0,28.0,1.1,30.0,95,18,0.7,3.7,47.3,51.4,0.92,عالي جداً,26.5,False,False,True
INT024,دجاج بانيه مقلي,دواجن,بروتين,غداء,قياسي,260,24.5,12.8,13.2,0.5,0.2,420,18,1.2,37.7,19.7,45.7,9.42,مرتفع,62.8,True,True,False
INT025,دجاج قلاية هوائية,دواجن,بروتين,غداء، عشاء,قياسي,185,29.0,2.1,6.8,0.2,0.1,110,16,1.1,62.7,4.5,33.1,15.68,متوسط,64.6,True,True,True
LBY062,دشيشة شعير بالخضار,شوربات,خضار,عشاء، غداء,وصفة تقديرية,65,3.2,11.5,1.5,4.0,1.2,180,30,1.8,19.7,70.8,20.8,4.92,منخفض,53.3,False,True,False
INT376,دقيق حمص,مكونات,نشويات,فطور، غداء,قياسي,387,22.4,57.8,6.7,10.8,10.8,64,45,4.9,23.2,59.7,15.6,5.79,مرتفع,69.3,True,False,True
INT377,دقيق ذرة,مكونات,نشويات,غداء، عشاء,قياسي,361,6.9,76.8,3.9,7.3,0.6,5,7,2.4,7.6,85.1,9.7,1.91,مرتفع,66.0,False,False,True
INT230,دقيق شعير,حبوب,نشويات,فطور، غداء، عشاء,قياسي,345,10.5,74.5,1.6,10.1,0.8,12,33,3.6,12.2,86.4,4.2,3.04,مرتفع,74.1,False,False,True
INT228,دقيق قمح أبيض,حبوب,نشويات,فطور، غداء، عشاء,قياسي,364,10.3,76.3,1.0,2.7,0.3,2,15,1.2,11.3,83.8,2.5,2.83,مرتفع,66.0,False,False,True
INT229,دقيق قمح كامل,حبوب,نشويات,فطور، غداء، عشاء,قياسي,339,13.2,72.0,2.5,10.7,0.4,5,34,3.9,15.6,85.0,6.6,3.89,مرتفع,77.9,False,False,True
INT430,دوم (ثمار),فواكه,نشويات,سناك,وصفة تقديرية,150,2.5,35.0,1.0,12.0,15.0,15,50,2.5,6.7,93.3,6.0,1.67,متوسط,48.9,False,False,True
INT209,دونات سادة,حلويات,حلويات,حلوى، سناك,قياسي,452,4.9,51.0,25.0,1.8,22.0,320,40,2.2,4.3,45.1,49.8,1.08,عالي جداً,32.2,False,False,False
INT182,ذرة حلوة (معلبة),خضروات,نشويات,غداء، عشاء، سناك,قياسي,67,2.3,14.5,1.2,2.0,3.2,250,2,0.4,13.7,86.6,16.1,3.43,منخفض,42.0,False,True,False
INT087,ذرة مسلوقة,خضروات,نشويات,سناك، غداء,قياسي,96,3.4,21.0,1.5,2.4,4.5,1,2,0.5,14.2,87.5,14.1,3.54,منخفض,44.7,False,True,True
LBY031,رز بلاو (أرز بالخلطة),أطباق أرز,نشويات,غداء,وصفة تقديرية,230,8.5,32.4,10.2,2.1,3.5,310,28,2.1,14.8,56.3,39.9,3.7,متوسط,50.6,False,False,False
LBY071,رشدة جارية (بالخضار),أطباق تقليدية,نشويات,غداء، عشاء,وصفة تقديرية,145,5.2,26.0,3.5,4.2,2.5,310,22,1.8,14.3,71.7,21.7,3.59,متوسط,54.2,False,True,False
LBY004,رشدة كسكاس (مبخرة),مكرونة,نشويات,غداء,وصفة تقديرية,176,8.8,24.3,4.7,2.3,1.9,295,26,1.7,20.0,55.2,24.0,5.0,متوسط,55.8,False,True,False
INT326,رقائق الشوفان (خام),حبوب,نشويات,فطور,قياسي,389,16.9,66.3,6.9,10.6,0.0,2,54,4.7,17.4,68.2,16.0,4.34,مرتفع,80.7,True,False,True
INT158,رمان,فواكه,فواكه,سناك,قياسي,83,1.7,18.7,1.2,4.0,13.7,3,10,0.3,8.2,90.1,13.0,2.05,منخفض,37.0,False,False,True
INT035,ريش خروف مشوية,لحوم,بروتين,غداء,قياسي,216,28.2,0.0,10.8,0.0,0.0,72,18,2.1,52.2,0.0,45.0,13.06,متوسط,62.1,True,True,True
INT103,زبادي سادة,ألبان,ألبان,فطور، عشاء، سناك,قياسي,59,3.5,4.7,3.3,0.0,4.7,46,121,0.1,23.7,31.9,50.3,5.93,منخفض,31.7,False,True,True
INT407,زبادي طبيعي (بدون دسم),ألبان,ألبان,فطور، عشاء، سناك,قياسي,56,5.7,7.7,0.2,0.0,7.7,77,199,0.1,40.7,55.0,3.2,10.18,منخفض,37.0,False,False,True
INT281,زبادي يوناني (خالي الدسم),ألبان,ألبان,فطور، عشاء، سناك,قياسي,54,10.2,3.9,0.0,0.0,3.9,38,115,0.0,75.6,28.9,0.0,18.89,منخفض,47.0,False,True,True
INT280,زبادي يوناني سادة,ألبان,ألبان,فطور، عشاء، سناك,قياسي,59,10.0,3.6,0.4,0.0,3.2,36,110,0.0,67.8,24.4,6.1,16.95,منخفض,46.9,False,True,True
INT289,زبدة اللوز (طبيعية),دهون,دهون,فطور، سناك,قياسي,614,21.0,18.0,55.0,10.0,4.5,5,260,3.5,13.7,11.7,80.6,3.42,عالي جداً,67.8,True,True,True
INT107,زبدة حيوانية,زيوت,دهون,فطور,قياسي,717,0.9,0.1,81.1,0.0,0.1,11,24,0.0,0.5,0.1,100.0,0.13,عالي جداً,24.2,False,True,True
INT288,زبدة فول سوداني (طبيعية),دهون,دهون,فطور، سناك,قياسي,588,25.0,20.0,50.0,6.0,9.0,15,45,1.9,17.0,13.6,76.5,4.25,عالي جداً,62.1,True,False,True
INT147,زبيب,فواكه,فواكه,سناك، غداء,قياسي,299,3.1,79.2,0.5,3.7,59.2,11,50,1.9,4.1,100.0,1.5,1.04,مرتفع,33.8,False,False,True
INT271,زعتر مطحون (خلطة),مكونات,خضار,فطور,وصفة تقديرية,280,8.0,35.0,12.0,10.0,1.2,350,600,25.0,11.4,50.0,38.6,2.86,مرتفع,66.0,False,False,False
LBY049,زلابية ليبية,حلويات,حلويات,حلوى,وصفة تقديرية,350,2.5,65.0,9.0,0.5,45.0,180,15,0.6,2.9,74.3,23.1,0.71,مرتفع,18.1,False,False,False
LBY011,زميتة,فطور,نشويات,فطور,وصفة تقديرية,389,12.9,56.7,10.8,8.4,2.5,9,51,3.9,13.3,58.3,25.0,3.32,مرتفع,67.2,False,False,True
LBY061,زميتة (بدون سكر),فطور,نشويات,فطور,وصفة تقديرية,340,13.5,52.0,8.5,12.0,0.5,10,55,4.5,15.9,61.2,22.5,3.97,مرتفع,76.4,False,False,True
INT123,زهرة (قرنبيط) مسلوقة,خضروات,خضار,غداء، عشاء,قياسي,25,1.9,5.0,0.3,2.0,1.9,30,22,0.4,30.4,80.0,10.8,7.6,منخفض,43.9,False,True,True
INT124,زهرة (قرنبيط) مشوية,خضروات,خضار,غداء، عشاء,قياسي,65,2.2,6.5,4.2,2.5,2.1,85,28,0.6,13.5,40.0,58.2,3.38,منخفض,42.8,False,True,True
INT106,زيت زيتون,زيوت,دهون,فطور، غداء، عشاء,قياسي,884,0.0,0.0,100.0,0.0,0.0,2,1,0.6,0.0,0.0,100.0,0.0,عالي جداً,16.6,False,True,True
INT233,زيت نباتي (ذرة/دوار شمس),زيوت,دهون,غداء، عشاء,قياسي,884,0.0,0.0,100.0,0.0,0.0,0,0,0.0,0.0,0.0,100.0,0.0,عالي جداً,16.6,False,True,True
INT167,زيتون أخضر مملح,مقبلات,دهون,فطور، غداء، عشاء,قياسي,145,1.0,3.8,15.3,3.3,0.5,1556,52,0.5,2.8,10.5,95.0,0.69,متوسط,40.8,False,True,False
INT168,زيتون أسود مملح,مقبلات,دهون,فطور، غداء، عشاء,قياسي,115,0.8,6.3,10.7,1.6,0.0,735,88,0.9,2.8,21.9,83.7,0.7,متوسط,37.9,False,True,False
INT066,سباغيتي مسلوقة,مكرونة,نشويات,غداء، عشاء,قياسي,158,5.8,30.7,0.9,1.8,0.6,1,7,1.3,14.7,77.7,5.1,3.67,متوسط,56.1,False,False,True
INT396,سبانخ بالثوم والليمون,خضروات,خضار,غداء، عشاء,قياسي,45,3.5,4.5,2.5,2.8,0.5,120,130,3.5,31.1,40.0,50.0,7.78,منخفض,53.0,False,True,True
INT302,سبانخ طازجة,خضروات,خضار,سناك، فطور، غداء، عشاء,قياسي,23,2.9,3.6,0.4,2.2,0.4,79,99,2.7,50.4,62.6,15.7,12.61,منخفض,52.2,False,True,True
INT125,سبانخ مطهوة,خضروات,خضار,غداء، عشاء,قياسي,23,3.0,3.6,0.3,2.4,0.4,70,136,3.6,52.2,62.6,11.7,13.04,منخفض,53.3,False,True,True
INT316,ستيفيا (محلي طبيعي),سكريات,حلويات,فطور، غداء، عشاء، حلوى,قياسي,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,منخفض,27.6,False,True,True
INT039,ستيك بقري مشوي,لحوم,بروتين,غداء، عشاء,قياسي,214,29.1,0.0,10.1,0.0,0.0,58,22,2.8,54.4,0.0,42.5,13.6,متوسط,62.6,True,True,True
INT370,سردين طازج مشوي,أسماك,بروتين,غداء، فطور,قياسي,155,20.5,0.0,8.1,0.0,0.0,110,320,2.5,52.9,0.0,47.0,13.23,متوسط,59.1,True,True,True
INT192,سردين معلب بالزيت,أسماك,بروتين,فطور، غداء، عشاء,قياسي,208,24.6,0.0,11.5,0.0,0.0,305,382,2.9,47.3,0.0,49.8,11.83,متوسط,60.4,True,True,False
INT165,سفرجل مطهو,فواكه,فواكه,سناك,قياسي,57,0.4,15.3,0.1,1.9,12.5,4,11,0.7,2.8,100.0,1.6,0.7,منخفض,26.0,False,False,True
LBY044,سفنز بالبيض,معجنات,بروتين,فطور,وصفة تقديرية,380,12.5,50.5,15.5,1.9,2.6,340,55,2.5,13.2,53.2,36.7,3.29,مرتفع,54.6,False,False,False
LBY043,سفنز سادة,معجنات,نشويات,فطور، سناك,وصفة تقديرية,326,6.5,49.8,11.8,1.9,2.5,210,20,1.7,8.0,61.1,32.6,1.99,مرتفع,48.3,False,False,False
LBY021,سفنز ليبي,معجنات,نشويات,فطور، سناك,وصفة تقديرية,326,6.5,49.8,11.8,1.9,11.2,210,20,1.7,8.0,61.1,32.6,1.99,مرتفع,40.9,False,False,False
INT226,سكر أبيض,سكريات,حلويات,فطور، غداء، عشاء,قياسي,387,0.0,100.0,0.0,0.0,100.0,1,1,0.1,0.0,100.0,0.0,0.0,مرتفع,0.0,False,False,True
INT227,سكر أسمر,سكريات,حلويات,فطور، غداء، عشاء,قياسي,380,0.0,98.0,0.0,0.0,97.0,28,83,0.7,0.0,100.0,0.0,0.0,مرتفع,0.2,False,False,True
LBY082,سلطة أمك حورية (جزر),سلطات,خضار,غداء، عشاء، سناك,وصفة تقديرية,65,1.2,8.5,3.2,2.8,4.2,120,33,0.8,7.4,52.3,44.3,1.85,منخفض,36.5,False,True,True
LBY083,سلطة باذنجان مشوي بالثوم,سلطات,خضار,غداء، عشاء,وصفة تقديرية,45,1.1,6.2,2.1,3.2,2.5,140,18,0.7,9.8,55.1,42.0,2.44,منخفض,40.0,False,True,False
INT382,سلطة بطاطس مسلوقة بالبقدونس,سلطات,نشويات,غداء، عشاء,قياسي,85,1.8,16.5,1.5,2.1,1.2,210,15,0.6,8.5,77.6,15.9,2.12,منخفض,43.9,False,True,False
INT333,سلطة جرجير بالرمان,سلطات,خضار,غداء، عشاء,وصفة تقديرية,55,1.5,8.0,2.5,2.0,5.5,80,45,1.2,10.9,58.2,40.9,2.73,منخفض,34.9,False,False,True
LBY065,سلطة خضراء ليبية,سلطات,خضار,غداء، عشاء,وصفة تقديرية,35,1.5,4.5,1.5,2.2,2.1,45,18,0.7,17.1,51.4,38.6,4.29,منخفض,40.8,False,True,True
INT434,سلطة ذرة وبقوليات,سلطات,نشويات,غداء، عشاء,وصفة تقديرية,120,5.5,18.5,2.5,5.2,3.5,150,30,1.8,18.3,61.7,18.8,4.58,متوسط,55.5,False,True,False
INT383,سلطة شمندر بالليمون,سلطات,خضار,غداء، عشاء، سناك,قياسي,55,1.5,11.0,0.5,2.8,7.5,75,16,0.8,10.9,80.0,8.2,2.73,منخفض,37.6,False,False,True
INT385,سلطة عدس أسود,سلطات,بروتين,غداء، عشاء,وصفة تقديرية,120,8.5,18.0,1.8,7.5,1.2,180,35,3.1,28.3,60.0,13.5,7.08,متوسط,67.9,False,True,False
INT381,سلطة فواكه البحر,سلطات,بروتين,غداء، عشاء,قياسي,95,14.5,3.2,2.8,0.5,1.5,280,35,1.2,61.1,13.5,26.5,15.26,منخفض,55.6,False,True,False
INT384,سلطة كول سلو (بدون مايونيز دسم),سلطات,خضار,غداء، عشاء,وصفة تقديرية,65,1.4,9.5,2.5,2.4,5.5,120,40,0.5,8.6,58.5,34.6,2.15,منخفض,35.6,False,False,True
INT332,سلطة كينوا بالخضار,سلطات,نشويات,غداء، عشاء,وصفة تقديرية,110,4.0,18.0,3.5,3.2,2.5,120,25,1.8,14.5,65.5,28.6,3.64,متوسط,49.5,False,True,True
LBY033,سلطة مشوية ليبية,سلطات,خضار,غداء، عشاء,وصفة تقديرية,65,1.8,8.2,3.8,2.5,4.1,150,22,1.1,11.1,50.5,52.6,2.77,منخفض,38.4,False,True,False
INT295,سلمون فيليه مشوي,أسماك,بروتين,غداء، عشاء,قياسي,208,20.5,0.0,13.5,0.0,0.0,60,15,0.5,39.4,0.0,58.4,9.86,متوسط,58.0,True,True,True
INT194,سلمون مشوي,أسماك,بروتين,غداء، عشاء,قياسي,208,20.0,0.0,13.0,0.0,0.0,59,12,0.3,38.5,0.0,56.2,9.62,متوسط,57.8,True,True,True
INT448,سمبوسة فرن (خضار),مقبلات,خضار,سناك، غداء,وصفة تقديرية,150,4.5,22.0,4.5,2.5,1.8,320,25,1.2,12.0,58.7,27.0,3.0,متوسط,49.8,False,True,False
INT449,سمبوسة فرن (دجاج),مقبلات,بروتين,سناك، غداء,وصفة تقديرية,170,9.5,20.0,5.5,1.5,1.2,350,20,1.4,22.4,47.1,29.1,5.59,متوسط,55.3,False,True,False
INT367,سمك دوت (هامور) مشوي,أسماك,بروتين,غداء,قياسي,118,24.8,0.0,1.3,0.0,0.0,65,40,0.6,84.1,0.0,9.9,21.02,متوسط,64.5,True,True,True
INT369,سمك قاروص مشوي,أسماك,بروتين,غداء,قياسي,120,24.0,0.0,2.1,0.0,0.0,70,30,0.4,80.0,0.0,15.8,20.0,متوسط,63.5,True,True,True
INT371,سمك ماكريل مشوي,أسماك,بروتين,غداء,قياسي,205,19.0,0.0,13.9,0.0,0.0,90,15,1.6,37.1,0.0,61.0,9.27,متوسط,57.0,True,True,True
INT366,سمك مرجان مشوي,أسماك,بروتين,غداء,قياسي,110,21.5,0.0,2.8,0.0,0.0,75,35,0.8,78.2,0.0,22.9,19.55,متوسط,61.7,True,True,True
INT342,سمك مشوي (دنيس),أسماك,بروتين,غداء,قياسي,115,22.0,0.0,2.5,0.0,0.0,65,40,0.5,76.5,0.0,19.6,19.13,متوسط,62.2,True,True,True
INT195,سمك مشوي (قاروص/ورات),أسماك,بروتين,غداء,قياسي,124,24.0,0.0,3.0,0.0,0.0,65,30,0.4,77.4,0.0,21.8,19.35,متوسط,62.8,True,True,True
INT341,سمك مشوي فيليه (هامور),أسماك,بروتين,غداء,قياسي,105,21.5,0.0,1.5,0.0,0.0,75,30,0.6,81.9,0.0,12.9,20.48,متوسط,62.7,True,True,True
INT196,سمك مقلي,أسماك,بروتين,غداء,قياسي,232,18.5,8.2,13.8,0.3,0.1,380,25,0.8,31.9,14.1,53.5,7.97,متوسط,58.7,True,True,False
INT368,سمك ورات (دنيس) مشوي,أسماك,بروتين,غداء,قياسي,125,23.5,0.0,3.5,0.0,0.0,68,32,0.5,75.2,0.0,25.2,18.8,متوسط,62.3,True,True,True
INT234,سمن حيواني,زيوت,دهون,فطور، غداء,قياسي,900,0.0,0.0,100.0,0.0,0.0,2,0,0.0,0.0,0.0,100.0,0.0,عالي جداً,16.6,False,True,True
INT231,سميد (سيمولينا),حبوب,نشويات,فطور، غداء، عشاء,قياسي,360,12.7,72.8,1.1,3.9,0.0,1,17,1.2,14.1,80.9,2.8,3.53,مرتفع,72.4,False,False,True
INT090,شاورما دجاج (لحم),دواجن,بروتين,غداء، عشاء,وصفة تقديرية,185,22.4,2.5,9.2,0.3,0.5,420,24,1.4,48.4,5.4,44.8,12.11,متوسط,59.9,True,True,False
LBY056,شاي أحمر ليبي (سادة),مشروبات,حلويات,سناك، فطور,وصفة تقديرية,1,0.0,0.3,0.0,0.0,0.0,2,5,0.1,0.0,100.0,0.0,0.0,منخفض,27.6,False,True,True
INT243,شاي أخضر (بدون سكر),مشروبات,خضار,فطور، سناك، عشاء,قياسي,1,0.0,0.2,0.0,0.0,0.0,1,0,0.0,0.0,80.0,0.0,0.0,منخفض,27.6,False,True,True
INT440,شاي أعشاب (مرمية/زعتر),مشروبات,خضار,سناك، فطور,قياسي,1,0.0,0.2,0.0,0.0,0.0,2,5,0.1,0.0,80.0,0.0,0.0,منخفض,27.6,False,True,True
LBY058,شاي بالكاوكاو (فول سوداني),مشروبات,دهون,سناك,وصفة تقديرية,95,3.2,5.8,7.5,1.0,5.0,10,18,0.5,13.5,24.4,71.1,3.37,منخفض,35.6,False,False,True
LBY057,شاي باللوز (ليبي),مشروبات,دهون,سناك,وصفة تقديرية,85,2.5,6.5,6.0,1.2,5.5,5,25,0.6,11.8,30.6,63.5,2.94,منخفض,34.3,False,False,True
INT358,شاي زنجبيل (بدون سكر),مشروبات,خضار,فطور، سناك,قياسي,2,0.1,0.4,0.0,0.0,0.0,2,2,0.1,20.0,80.0,0.0,5.0,منخفض,28.8,False,True,True
INT357,شاي ماتشا (بدون سكر),مشروبات,خضار,فطور، سناك,قياسي,3,0.3,0.5,0.0,0.0,0.0,1,5,0.1,40.0,66.7,0.0,10.0,منخفض,30.8,False,True,True
INT177,شبت طازج,خضروات,خضار,غداء، عشاء,قياسي,43,3.5,7.0,1.1,2.1,0.0,61,208,6.6,32.6,65.1,23.0,8.14,منخفض,54.7,False,True,True
INT365,شراب التمر الهندي (سكر قليل),مشروبات,فواكه,سناك,وصفة تقديرية,65,0.5,16.0,0.1,1.5,14.5,10,25,0.5,3.1,98.5,1.4,0.77,منخفض,24.6,False,False,True
INT315,شراب القيقب (الأصلي),سكريات,حلويات,فطور، حلوى,قياسي,260,0.0,67.0,0.0,0.0,60.0,12,102,0.1,0.0,100.0,0.0,0.0,مرتفع,3.0,False,False,True
INT361,شراب الليمون والكمون,مشروبات,خضار,فطور، سناك,وصفة تقديرية,5,0.2,1.2,0.1,0.5,0.2,10,15,0.5,16.0,96.0,18.0,4.0,منخفض,32.4,False,True,True
INT255,شراب كركديه,مشروبات,خضار,سناك,وصفة تقديرية,35,0.1,9.0,0.0,0.2,8.5,2,12,0.5,1.1,100.0,0.0,0.29,منخفض,17.0,False,False,True
LBY032,شرمولة ليبية (طماطم وخيار),سلطات,خضار,غداء، عشاء، سناك,وصفة تقديرية,45,1.2,5.4,2.5,1.8,3.2,120,18,0.8,10.7,48.0,50.0,2.67,منخفض,35.3,False,True,True
LBY018,شكشوكة ليبية,أطباق بيض,بروتين,فطور، عشاء,وصفة تقديرية,118,7.3,5.4,7.6,1.5,3.1,270,49,2.0,24.7,18.3,58.0,6.19,متوسط,48.1,False,True,False
INT150,شمام (قلعاوي),فواكه,فواكه,سناك,قياسي,34,0.8,8.2,0.2,0.9,7.9,16,9,0.2,9.4,96.5,5.3,2.35,منخفض,27.3,False,False,True
INT422,شهد (شمام),فواكه,فواكه,سناك,قياسي,34,0.8,8.2,0.2,0.9,7.9,16,9,0.2,9.4,96.5,5.3,2.35,منخفض,27.3,False,False,True
INT339,شوربة بروكلي كريمية (لايت),شوربات,خضار,عشاء,وصفة تقديرية,55,3.5,6.5,2.5,2.1,2.0,280,45,0.8,25.5,47.3,40.9,6.36,منخفض,46.9,False,True,False
LBY080,شوربة خضار ليبية بالدجاج,شوربات,خضار,عشاء، غداء,وصفة تقديرية,55,4.8,6.5,1.5,1.8,1.2,250,22,0.9,34.9,47.3,24.5,8.73,منخفض,51.6,False,True,False
LBY026,شوربة دشيشة ليبية,شوربات,خضار,عشاء، غداء,وصفة تقديرية,85,4.5,12.5,2.8,3.2,1.2,310,22,1.4,21.2,58.8,29.6,5.29,منخفض,53.9,False,True,False
INT338,شوربة طماطم مشوية,شوربات,خضار,عشاء,وصفة تقديرية,45,1.2,8.5,1.2,1.8,4.5,320,20,0.6,10.7,75.6,24.0,2.67,منخفض,34.8,False,True,False
LBY067,شوربة عدس (بدون دهون),شوربات,خضار,عشاء، غداء,وصفة تقديرية,75,5.8,12.0,0.5,4.8,0.8,210,25,2.3,30.9,64.0,6.0,7.73,منخفض,62.9,False,True,False
INT098,شوربة عدس ليبية,شوربات,خضار,عشاء، غداء,وصفة تقديرية,95,6.2,14.5,1.8,4.5,1.2,285,24,2.1,26.1,61.1,17.1,6.53,منخفض,60.4,False,True,False
INT439,شوربة عظام (Bone Broth),شوربات,بروتين,فطور، غداء، عشاء,قياسي,15,2.5,0.2,0.5,0.0,0.0,250,15,0.3,66.7,5.3,30.0,16.67,منخفض,41.7,False,True,False
INT340,شوربة فطر (بدون كريمة دسمة),شوربات,خضار,عشاء,وصفة تقديرية,40,2.5,5.5,1.5,1.2,1.5,310,15,0.6,25.0,55.0,33.8,6.25,منخفض,42.5,False,True,False
INT435,شوربة قرع عسل (لايت),شوربات,خضار,عشاء,وصفة تقديرية,45,1.1,8.5,1.2,1.5,3.2,210,25,0.6,9.8,75.6,24.0,2.44,منخفض,34.8,False,True,False
LBY010,شوربة ليبية,شوربات,خضار,غداء، عشاء,وصفة تقديرية,82,5.2,7.1,3.5,1.4,1.6,320,18,0.9,25.4,34.6,38.4,6.34,منخفض,48.5,False,True,False
INT076,شوفان بالحليب,حبوب,نشويات,فطور,قياسي,105,4.8,15.2,3.2,1.7,4.5,45,120,1.1,18.3,57.9,27.4,4.57,متوسط,44.5,False,True,True
INT075,شوفان بالماء,حبوب,نشويات,فطور,قياسي,71,2.5,12.0,1.4,1.7,0.3,2,8,1.0,14.1,67.6,17.7,3.52,منخفض,48.5,False,True,True
INT321,شوفان مقطع (Steel Cut),حبوب,نشويات,فطور,قياسي,375,12.5,67.0,6.2,10.0,1.0,0,50,4.5,13.3,71.5,14.9,3.33,مرتفع,72.9,False,False,True
INT221,شوكولاتة بالحليب,حلويات,حلويات,سناك,قياسي,535,7.7,59.0,29.7,3.4,51.0,79,189,2.4,5.8,44.1,50.0,1.44,عالي جداً,35.9,False,False,True
INT220,شوكولاتة داكنة (70%),حلويات,حلويات,سناك,قياسي,598,7.8,45.0,42.0,8.0,24.0,20,73,11.9,5.2,30.1,63.2,1.3,عالي جداً,46.4,False,False,True
INT414,شيا بودينغ (بحليب اللوز),حلويات,دهون,فطور، حلوى,وصفة تقديرية,95,3.5,12.0,4.5,8.5,4.5,40,150,1.8,14.7,50.5,42.6,3.68,منخفض,52.9,False,True,True
INT345,شيش طاووق مشوي,دواجن,بروتين,غداء، عشاء,وصفة تقديرية,150,24.0,2.1,4.5,0.2,0.8,410,22,1.2,64.0,5.6,27.0,16.0,متوسط,60.3,True,True,False
INT023,صدر دجاج بالفرن,دواجن,بروتين,غداء، عشاء,قياسي,165,31.0,0.0,3.6,0.0,0.0,70,14,1.0,75.2,0.0,19.6,18.79,متوسط,65.5,True,True,True
INT022,صدر دجاج مسلوق,دواجن,بروتين,غداء، عشاء,قياسي,151,30.5,0.0,3.2,0.0,0.0,65,13,0.9,80.8,0.0,19.1,20.2,متوسط,65.5,True,True,True
INT021,صدر دجاج مشوي,دواجن,بروتين,غداء، عشاء,قياسي,165,31.0,0.0,3.6,0.0,0.0,74,15,1.0,75.2,0.0,19.6,18.79,متوسط,65.5,True,True,True
LBY068,صدور دجاج مشوية متبلة,دواجن,بروتين,غداء، عشاء,وصفة تقديرية,155,30.5,0.5,3.2,0.0,0.0,280,15,1.1,78.7,1.3,18.6,19.68,متوسط,65.5,True,True,False
INT346,صدور رومي مدخنة,دواجن,بروتين,فطور، سناك,قياسي,104,17.0,1.5,2.5,0.0,1.2,850,15,0.8,65.4,5.8,21.6,16.35,متوسط,54.5,True,True,False
INT240,صلصة صويا,صلصات,بروتين,غداء,قياسي,53,8.0,4.9,0.6,0.8,0.4,5493,20,1.5,60.4,37.0,10.2,15.09,منخفض,56.4,False,True,False
INT328,صنوبر,مكسرات,دهون,سناك,قياسي,673,13.7,13.1,68.4,3.7,3.6,2,16,5.5,8.1,7.8,91.5,2.04,عالي جداً,55.3,False,True,True
LBY007,طاجين جبن ليبي,أطباق لحوم,بروتين,غداء، عشاء,وصفة تقديرية,229,12.5,8.9,15.8,0.8,2.0,430,198,1.1,21.8,15.5,62.1,5.46,متوسط,51.1,False,True,False
LBY070,طاجين خضار (بدون لحم),خضروات,خضار,غداء، عشاء,وصفة تقديرية,85,2.5,14.0,2.5,3.8,3.5,180,45,1.2,11.8,65.9,26.5,2.94,منخفض,45.6,False,True,False
LBY075,طبيخة بازلاء (بسلة),يخنات,خضار,غداء,وصفة تقديرية,110,6.5,14.2,3.8,4.8,3.5,310,32,1.8,23.6,51.6,31.1,5.91,متوسط,55.8,False,True,False
LBY076,طبيخة بطاطا ليبية,يخنات,نشويات,غداء,وصفة تقديرية,105,4.2,18.5,2.5,2.1,1.8,280,15,1.2,16.0,70.5,21.4,4.0,متوسط,49.0,False,True,False
